Designator,Mid X,Mid Y,Rotation,Layer
D1,85.7268,-52.3886,180.0,top
D2,85.7268,-71.4375,180.0,top
D3,85.7268,-90.4894,180.0,top
D4,104.7772,-90.4894,180.0,top
D5,123.8276,-90.4894,180.0,top
D6,85.7268,-109.5375,180.0,top
D7,104.7772,-109.5398,180.0,top
D8,123.8276,-109.5398,180.0,top
D9,123.825,-52.3875,180.0,top
S1,85.725,-40.6975,0.0,top
S2,85.725,-59.7475,0.0,top
S3,85.725,-78.7975,0.0,top
S4,104.775,-78.7975,0.0,top
S5,123.825,-78.7975,0.0,top
S6,85.725,-97.8475,0.0,top
S7,104.775,-97.8475,0.0,top
S8,123.825,-97.8475,0.0,top
SW1,123.575,-42.8625,0.0,top
SW2,123.825,-61.9125,90.0,top
U1,104.775,-52.6675,0.0,top
